k,h_low(k),h_band(k),h_high(k)
0,0.0000000000,-0.0005100223,0.0000000000
1,0.0000983022,-0.0007136130,0.0002532360
2,0.0002037719,-0.0009083511,0.0004683001
3,0.0003192871,-0.0010736165,0.0005958853
4,0.0004465792,-0.0011827419,0.0005914585
5,0.0005855599,-0.0012041127,0.0004262810
6,0.0007337474,-0.0011051020,0.0001018382
7,0.0008858505,-0.0008586314,-0.0003373509
8,0.0010335606,-0.0004512944,-0.0007995349
9,0.0011655918,0.0001087433,-0.0011563429
10,0.0012679916,0.0007862395,-0.0012705153
11,0.0013247321,0.0015178507,-0.0010369046
12,0.0013185698,0.0022170615,-0.0004264270
13,0.0012321435,0.0027854633,0.0004816755
14,0.0010492628,0.0031294117,0.0014939157
15,0.0007563233,0.0031796903,0.0023323568
16,0.0003437697,0.0029106688,0.0026996246
17,-0.0001924807,0.0023548468,0.0023666643
18,-0.0008497443,0.0016088274,0.0012603421
19,-0.0016175018,0.0008277447,-0.0004770787
20,-0.0024766362,0.0002069019,-0.0024815655
21,-0.0033990551,-0.0000483647,-0.0042274499
22,-0.0043477549,0.0002388355,-0.0051494352
23,-0.0052773653,0.0011757079,-0.0048019018
24,-0.0061351895,0.0027627924,-0.0030149356
25,-0.0068627280,0.0048686429,-0.0000000000
26,-0.0073976494,0.0072226785,0.0036353297
27,-0.0076761433,0.0094305718,0.0069845623
28,-0.0076355687,0.0110133453,0.0090434873
29,-0.0072172893,0.0114675526,0.0089762384
30,-0.0063695716,0.0103400822,0.0063822491
31,-0.0050504115,0.0073078975,0.0014896080
32,-0.0032301520,0.0022510002,-0.0047909666
33,-0.0008937559,-0.0046934720,-0.0109892614
34,0.0019573891,-0.0131066012,-0.0153713833
35,0.0053042442,-0.0222997931,-0.0163572766
36,0.0091095544,-0.0313661847,-0.0129699699
37,0.0133180050,-0.0392683624,-0.0052063388
38,0.0178571240,-0.0449538217,0.0057750142
39,0.0226389244,-0.0474848558,0.0177201149
40,0.0275622448,-0.0461664154,0.0276171027
41,0.0325157116,-0.0406545217,0.0322577011
42,0.0373812192,-0.0310292980,0.0289171125
43,0.0420377958,-0.0178205402,0.0160088942
44,0.0463657021,-0.0019795225,-0.0064351850
45,0.0502505966,0.0152023266,-0.0365818607
46,0.0535875964,0.0322200816,-0.0709724903
47,0.0562850612,0.0475131655,-0.1050447656
48,0.0582679412,0.0596356264,-0.1339089395
49,0.0594805436,0.0674179123,-0.1532276747
50,0.0598886000,0.0700998487,0.8401091690
51,0.0594805436,0.0674179123,-0.1532276747
52,0.0582679412,0.0596356264,-0.1339089395
53,0.0562850612,0.0475131655,-0.1050447656
54,0.0535875964,0.0322200816,-0.0709724903
55,0.0502505966,0.0152023266,-0.0365818607
56,0.0463657021,-0.0019795225,-0.0064351850
57,0.0420377958,-0.0178205402,0.0160088942
58,0.0373812192,-0.0310292980,0.0289171125
59,0.0325157116,-0.0406545217,0.0322577011
60,0.0275622448,-0.0461664154,0.0276171027
61,0.0226389244,-0.0474848558,0.0177201149
62,0.0178571240,-0.0449538217,0.0057750142
63,0.0133180050,-0.0392683624,-0.0052063388
64,0.0091095544,-0.0313661847,-0.0129699699
65,0.0053042442,-0.0222997931,-0.0163572766
66,0.0019573891,-0.0131066012,-0.0153713833
67,-0.0008937559,-0.0046934720,-0.0109892614
68,-0.0032301520,0.0022510002,-0.0047909666
69,-0.0050504115,0.0073078975,0.0014896080
70,-0.0063695716,0.0103400822,0.0063822491
71,-0.0072172893,0.0114675526,0.0089762384
72,-0.0076355687,0.0110133453,0.0090434873
73,-0.0076761433,0.0094305718,0.0069845623
74,-0.0073976494,0.0072226785,0.0036353297
75,-0.0068627280,0.0048686429,-0.0000000000
76,-0.0061351895,0.0027627924,-0.0030149356
77,-0.0052773653,0.0011757079,-0.0048019018
78,-0.0043477549,0.0002388355,-0.0051494352
79,-0.0033990551,-0.0000483647,-0.0042274499
80,-0.0024766362,0.0002069019,-0.0024815655
81,-0.0016175018,0.0008277447,-0.0004770787
82,-0.0008497443,0.0016088274,0.0012603421
83,-0.0001924807,0.0023548468,0.0023666643
84,0.0003437697,0.0029106688,0.0026996246
85,0.0007563233,0.0031796903,0.0023323568
86,0.0010492628,0.0031294117,0.0014939157
87,0.0012321435,0.0027854633,0.0004816755
88,0.0013185698,0.0022170615,-0.0004264270
89,0.0013247321,0.0015178507,-0.0010369046
90,0.0012679916,0.0007862395,-0.0012705153
91,0.0011655918,0.0001087433,-0.0011563429
92,0.0010335606,-0.0004512944,-0.0007995349
93,0.0008858505,-0.0008586314,-0.0003373509
94,0.0007337474,-0.0011051020,0.0001018382
95,0.0005855599,-0.0012041127,0.0004262810
96,0.0004465792,-0.0011827419,0.0005914585
97,0.0003192871,-0.0010736165,0.0005958853
98,0.0002037719,-0.0009083511,0.0004683001
99,0.0000983022,-0.0007136130,0.0002532360
100,0.0000000000,-0.0005100223,0.0000000000
